2 0.000000 100.000000 5791.461216
25 16 
1 -6.880500 0.000000 -6.888350 99.511026 0.000000 9.830691 0.000091 
2 7.340451 0.000000 -6.888350 99.512692 0.000000 9.803769 0.000111 
3 7.340451 0.000000 6.898506 99.523939 0.000000 9.791789 -0.000089 
4 -6.880500 0.000000 6.898506 99.521198 0.000000 9.830397 -0.000111 
5 0.229976 0.000000 0.005078 98.210187 0.000000 -12.235373 0.020505 
6 -6.880500 0.000000 0.005078 99.516333 0.000000 9.836650 -0.000026 
7 0.229976 0.000000 -6.888350 99.502046 0.000000 9.815806 0.000299 
8 7.340451 0.000000 0.005078 99.729493 0.000000 7.650210 -0.000450 
9 0.229976 0.000000 6.898506 99.532189 0.000000 9.813223 -0.000296 
10 -3.325262 0.000000 -3.441636 99.496792 0.000000 9.833997 0.000368 
11 -6.880500 0.000000 -3.441636 99.511241 0.000000 9.833951 0.000081 
12 -3.325262 0.000000 -6.888350 99.505886 0.000000 9.827258 0.000200 
13 0.229976 0.000000 -3.441636 99.461229 0.000000 9.774486 0.001192 
14 -3.325262 0.000000 0.005078 99.517854 0.000000 9.858024 -0.000098 
15 3.785213 0.000000 -3.441636 99.503558 0.000000 9.726806 0.000443 
16 3.785213 0.000000 -6.888350 99.507049 0.000000 9.805302 0.000220 
17 7.340451 0.000000 -3.441636 99.518357 0.000000 9.741890 0.000119 
18 3.785213 0.000000 0.005078 100.041231 -0.000000 4.442882 -0.002799 
19 3.785213 0.000000 3.451792 99.547785 0.000000 9.683433 -0.000353 
20 0.229976 0.000000 3.451792 99.580468 0.000000 9.765646 -0.001164 
21 7.340451 0.000000 3.451792 99.537565 0.000000 9.647479 -0.000080 
22 3.785213 0.000000 6.898506 99.528624 0.000000 9.798835 -0.000196 
23 -3.325262 0.000000 3.451792 99.537505 0.000000 9.832973 -0.000440 
24 -6.880500 0.000000 3.451792 99.521269 0.000000 9.833727 -0.000119 
25 -3.325262 0.000000 6.898506 99.527042 0.000000 9.826421 -0.000219 
1 1 12 10 11 
2 12 7 13 10 
3 10 13 5 14 
4 11 10 14 6 
5 7 16 15 13 
6 16 2 17 15 
7 15 17 8 18 
8 13 15 18 5 
9 5 18 19 20 
10 18 8 21 19 
11 19 21 3 22 
12 20 19 22 9 
13 6 14 23 24 
14 14 5 20 23 
15 23 20 9 25 
16 24 23 25 4 
