WARNING: 1 open meshes merged
     Merged: WingGeom
...Mass Properties...
5 Num Comps
2 Total Num Meshes
3552 Total Num Tris

1.896800000000000e+00             Total Mass
1.204621505693800e-01 0.000000000000000e+00 2.482653310839308e-03       Center of Gravity
5.489920364125352e-01 1.117781782702741e-02 5.597405814144922e-01       Ixx, Iyy, Izz
0.000000000000000e+00 -1.105532473601856e-04 0.000000000000000e+00       Ixy, Ixz, Iyz
3.066778426190810e-02             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
WingGeom	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	3.046701567704118e-02
EllipsoidGeom	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	2.007685848670288e-04
WingGeom_pm	4.484000000000000e-01	1.432790000000000e-01	0.000000000000000e+00	5.251000000000000e-03	2.744895000000000e-01	5.139600000000000e-03	2.794275000000000e-01	-0.000000000000000e+00	-1.090000000000000e-04	-0.000000000000000e+00	0.000000000000000e+00
WingGeom_pm	4.484000000000000e-01	1.432790000000000e-01	0.000000000000000e+00	5.251000000000000e-03	2.744895000000000e-01	5.139600000000000e-03	2.794275000000000e-01	-0.000000000000000e+00	-1.090000000000000e-04	-0.000000000000000e+00	0.000000000000000e+00
EllipsoidGeom_pm	1.000000000000000e+00	1.000000000000000e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	0.000000000000000e+00
Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Totals	1.896800000000000e+00	1.204621505693800e-01	0.000000000000000e+00	2.482653310839308e-03	5.489920364125352e-01	1.117781782702741e-02	5.597405814144922e-01	0.000000000000000e+00	-1.105532473601856e-04	0.000000000000000e+00	3.066778426190810e-02

...Filling Mass Properties (Volume Only -- No Shell or Point Mass)...
10 Num Slice

Slice	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
4.313699380463083e-02	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.249162617915738e-04
1.294109814138925e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	4.395058917757607e-03
2.156849690231541e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.659232245433479e-03
3.019589566324158e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.597376598477808e-02
3.882329442416775e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	2.206379950158168e-02
4.745069318509391e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	2.636626470713101e-02
5.607809194602009e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	2.815054853701439e-02
6.470549070694626e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	2.948523841450030e-02
7.333288946787242e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	3.053146932198405e-02
8.196028822879858e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	3.066778426190810e-02
