Results_Name,VSPAERO_History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poweri,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Powero,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPM,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SoverB,5.00E-02,9.99E-02,1.50E-01,2.00E-01,2.50E-01,2.75E-01,3.00E-01,3.25E-01,3.50E-01,3.75E-01,4.00E-01,4.25E-01,4.50E-01,4.75E-01,5.00E-01,5.25E-01,5.50E-01,5.75E-01,6.00E-01,6.25E-01,6.50E-01,6.75E-01,7.00E-01,7.25E-01,7.50E-01,8.00E-01,8.50E-01,9.00E-01,9.50E-01,1.00E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StallFact,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thrust,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thrusti,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thrusto,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrailVort,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V/Vref,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VortexSheet,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xavg,4.49E-01,4.26E-01,4.04E-01,3.81E-01,3.59E-01,3.43E-01,3.34E-01,3.25E-01,3.16E-01,3.07E-01,3.02E-01,3.02E-01,3.01E-01,3.01E-01,3.00E-01,3.00E-01,3.01E-01,3.01E-01,3.02E-01,3.02E-01,3.07E-01,3.16E-01,3.25E-01,3.34E-01,3.43E-01,3.59E-01,3.81E-01,4.04E-01,4.26E-01,4.49E-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yavg,6.54E-01,5.85E-01,5.16E-01,4.47E-01,3.78E-01,3.27E-01,2.92E-01,2.58E-01,2.24E-01,1.89E-01,1.55E-01,1.20E-01,8.60E-02,5.16E-02,1.72E-02,-1.72E-02,-5.16E-02,-8.60E-02,-1.20E-01,-1.55E-01,-1.89E-01,-2.24E-01,-2.58E-01,-2.92E-01,-3.27E-01,-3.78E-01,-4.47E-01,-5.16E-01,-5.85E-01,-6.54E-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zavg,8.27E-03,5.12E-03,1.98E-03,-1.17E-03,-4.31E-03,-6.08E-03,-6.48E-03,-6.87E-03,-7.26E-03,-7.65E-03,-7.07E-03,-5.50E-03,-3.93E-03,-2.36E-03,-7.90E-04,-7.90E-04,-2.36E-03,-3.93E-03,-5.50E-03,-7.07E-03,-7.65E-03,-7.26E-03,-6.87E-03,-6.48E-03,-6.08E-03,-4.31E-03,-1.17E-03,1.98E-03,5.12E-03,8.27E-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cd,1.04E-01,9.87E-02,6.76E-02,4.67E-02,3.15E-02,1.96E-02,1.59E-02,1.18E-02,9.41E-03,8.13E-03,1.24E-02,2.04E-02,3.08E-02,4.66E-02,7.95E-02,7.95E-02,4.66E-02,3.08E-02,2.04E-02,1.24E-02,8.13E-03,9.41E-03,1.18E-02,1.59E-02,1.96E-02,3.15E-02,4.67E-02,6.76E-02,9.87E-02,1.04E-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cd*c/cref,5.03E-02,5.52E-02,4.30E-02,3.34E-02,2.50E-02,1.69E-02,1.46E-02,1.15E-02,9.67E-03,8.81E-03,1.45E-02,2.60E-02,4.27E-02,6.98E-02,1.28E-01,1.28E-01,6.98E-02,4.27E-02,2.60E-02,1.45E-02,8.81E-03,9.67E-03,1.15E-02,1.46E-02,1.69E-02,2.50E-02,3.34E-02,4.30E-02,5.52E-02,5.03E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cdi,8.89E-02,8.10E-02,5.27E-02,3.42E-02,2.09E-02,1.01E-02,7.27E-03,3.77E-03,1.80E-03,8.50E-04,5.40E-03,1.36E-02,2.43E-02,4.03E-02,7.34E-02,7.34E-02,4.03E-02,2.43E-02,1.36E-02,5.40E-03,8.50E-04,1.80E-03,3.77E-03,7.27E-03,1.01E-02,2.09E-02,3.42E-02,5.27E-02,8.10E-02,8.89E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cdi*c/cref,4.29E-02,4.53E-02,3.36E-02,2.45E-02,1.66E-02,8.73E-03,6.66E-03,3.67E-03,1.85E-03,9.21E-04,6.30E-03,1.74E-02,3.37E-02,6.04E-02,1.18E-01,1.18E-01,6.04E-02,3.37E-02,1.74E-02,6.30E-03,9.21E-04,1.85E-03,3.67E-03,6.66E-03,8.73E-03,1.66E-02,2.45E-02,3.36E-02,4.53E-02,4.29E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cdo,1.53E-02,1.77E-02,1.49E-02,1.24E-02,1.06E-02,9.43E-03,8.66E-03,8.07E-03,7.61E-03,7.28E-03,6.99E-03,6.72E-03,6.49E-03,6.28E-03,6.07E-03,6.07E-03,6.28E-03,6.49E-03,6.72E-03,6.99E-03,7.28E-03,7.61E-03,8.07E-03,8.66E-03,9.43E-03,1.06E-02,1.24E-02,1.49E-02,1.77E-02,1.53E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cdo*c/cref,7.40E-03,9.89E-03,9.46E-03,8.88E-03,8.38E-03,8.12E-03,7.94E-03,7.85E-03,7.82E-03,7.89E-03,8.15E-03,8.58E-03,9.01E-03,9.42E-03,9.78E-03,9.78E-03,9.42E-03,9.01E-03,8.58E-03,8.15E-03,7.89E-03,7.82E-03,7.85E-03,7.94E-03,8.12E-03,8.38E-03,8.88E-03,9.46E-03,9.89E-03,7.40E-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cl,-1.27E+00,-1.42E+00,-1.25E+00,-1.08E+00,-9.30E-01,-8.35E-01,-7.60E-01,-7.00E-01,-6.49E-01,-6.11E-01,-5.77E-01,-5.44E-01,-5.15E-01,-4.83E-01,-4.45E-01,-4.45E-01,-4.83E-01,-5.15E-01,-5.44E-01,-5.77E-01,-6.11E-01,-6.49E-01,-7.00E-01,-7.60E-01,-8.35E-01,-9.30E-01,-1.08E+00,-1.25E+00,-1.42E+00,-1.27E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cl*c/cref,-6.12E-01,-7.92E-01,-7.94E-01,-7.71E-01,-7.38E-01,-7.19E-01,-6.97E-01,-6.80E-01,-6.67E-01,-6.62E-01,-6.73E-01,-6.95E-01,-7.14E-01,-7.25E-01,-7.18E-01,-7.18E-01,-7.25E-01,-7.14E-01,-6.95E-01,-6.73E-01,-6.62E-01,-6.67E-01,-6.80E-01,-6.97E-01,-7.19E-01,-7.38E-01,-7.71E-01,-7.94E-01,-7.92E-01,-6.12E-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cli,-1.27E+00,-1.42E+00,-1.25E+00,-1.08E+00,-9.32E-01,-8.37E-01,-7.62E-01,-7.01E-01,-6.51E-01,-6.12E-01,-5.79E-01,-5.46E-01,-5.16E-01,-4.85E-01,-4.47E-01,-4.47E-01,-4.85E-01,-5.16E-01,-5.46E-01,-5.79E-01,-6.12E-01,-6.51E-01,-7.01E-01,-7.62E-01,-8.37E-01,-9.32E-01,-1.08E+00,-1.25E+00,-1.42E+00,-1.27E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cli*c/cref,-6.14E-01,-7.96E-01,-7.97E-01,-7.73E-01,-7.40E-01,-7.20E-01,-6.99E-01,-6.82E-01,-6.69E-01,-6.63E-01,-6.75E-01,-6.97E-01,-7.17E-01,-7.27E-01,-7.20E-01,-7.20E-01,-7.27E-01,-7.17E-01,-6.97E-01,-6.75E-01,-6.63E-01,-6.69E-01,-6.82E-01,-6.99E-01,-7.20E-01,-7.40E-01,-7.73E-01,-7.97E-01,-7.96E-01,-6.14E-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clo,6.02E-03,5.84E-03,4.23E-03,3.10E-03,2.34E-03,1.98E-03,1.82E-03,1.70E-03,1.60E-03,1.53E-03,1.52E-03,1.56E-03,1.58E-03,1.59E-03,1.59E-03,1.59E-03,1.59E-03,1.58E-03,1.56E-03,1.52E-03,1.53E-03,1.60E-03,1.70E-03,1.82E-03,1.98E-03,2.34E-03,3.10E-03,4.23E-03,5.84E-03,6.02E-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clo*c/cref,2.91E-03,3.26E-03,2.69E-03,2.22E-03,1.86E-03,1.71E-03,1.67E-03,1.65E-03,1.64E-03,1.66E-03,1.77E-03,1.99E-03,2.19E-03,2.38E-03,2.56E-03,2.56E-03,2.38E-03,2.19E-03,1.99E-03,1.77E-03,1.66E-03,1.64E-03,1.65E-03,1.67E-03,1.71E-03,1.86E-03,2.22E-03,2.69E-03,3.26E-03,2.91E-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmx,-9.42E+00,-8.11E+00,-5.51E+00,-3.67E+00,-2.40E+00,-1.71E+00,-1.31E+00,-1.00E+00,-7.62E-01,-5.75E-01,-4.14E-01,-2.78E-01,-1.74E-01,-9.10E-02,-2.60E-02,2.60E-02,9.10E-02,1.74E-01,2.78E-01,4.14E-01,5.75E-01,7.62E-01,1.00E+00,1.31E+00,1.71E+00,2.40E+00,3.67E+00,5.51E+00,8.11E+00,9.42E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmx*c/cref,-4.55E+00,-4.53E+00,-3.51E+00,-2.62E+00,-1.91E+00,-1.47E+00,-1.20E+00,-9.74E-01,-7.83E-01,-6.23E-01,-4.83E-01,-3.55E-01,-2.41E-01,-1.36E-01,-4.19E-02,4.19E-02,1.36E-01,2.41E-01,3.55E-01,4.83E-01,6.23E-01,7.83E-01,9.74E-01,1.20E+00,1.47E+00,1.91E+00,2.62E+00,3.51E+00,4.53E+00,4.55E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmxi,-9.43E+00,-8.12E+00,-5.51E+00,-3.67E+00,-2.40E+00,-1.71E+00,-1.31E+00,-1.00E+00,-7.61E-01,-5.75E-01,-4.14E-01,-2.78E-01,-1.73E-01,-9.10E-02,-2.60E-02,2.60E-02,9.10E-02,1.73E-01,2.78E-01,4.14E-01,5.75E-01,7.61E-01,1.00E+00,1.31E+00,1.71E+00,2.40E+00,3.67E+00,5.51E+00,8.12E+00,9.43E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmxi*c/cref,-4.55E+00,-4.54E+00,-3.51E+00,-2.62E+00,-1.91E+00,-1.47E+00,-1.20E+00,-9.74E-01,-7.82E-01,-6.23E-01,-4.83E-01,-3.55E-01,-2.41E-01,-1.36E-01,-4.19E-02,4.19E-02,1.36E-01,2.41E-01,3.55E-01,4.83E-01,6.23E-01,7.82E-01,9.74E-01,1.20E+00,1.47E+00,1.91E+00,2.62E+00,3.51E+00,4.54E+00,4.55E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmxo,1.42E-02,6.44E-03,1.24E-03,-6.60E-04,-1.18E-03,-1.06E-03,-8.20E-04,-6.40E-04,-4.90E-04,-3.80E-04,-2.40E-04,-1.20E-04,-5.00E-05,-1.00E-05,0.00E+00,0.00E+00,1.00E-05,5.00E-05,1.20E-04,2.40E-04,3.80E-04,4.90E-04,6.40E-04,8.20E-04,1.06E-03,1.18E-03,6.60E-04,-1.24E-03,-6.44E-03,-1.42E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmxo*c/cref,6.84E-03,3.60E-03,7.89E-04,-4.72E-04,-9.37E-04,-9.13E-04,-7.52E-04,-6.22E-04,-5.04E-04,-4.12E-04,-2.80E-04,-1.53E-04,-6.94E-05,-1.50E-05,0.00E+00,0.00E+00,1.50E-05,6.94E-05,1.53E-04,2.80E-04,4.12E-04,5.04E-04,6.22E-04,7.52E-04,9.13E-04,9.37E-04,4.72E-04,-7.89E-04,-3.60E-03,-6.84E-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmy,5.50E+00,4.87E+00,3.37E+00,2.30E+00,1.54E+00,1.11E+00,8.47E-01,6.37E-01,4.71E-01,3.40E-01,2.34E-01,1.48E-01,8.46E-02,3.67E-02,3.72E-03,3.72E-03,3.67E-02,8.46E-02,1.48E-01,2.34E-01,3.40E-01,4.71E-01,6.37E-01,8.47E-01,1.11E+00,1.54E+00,2.30E+00,3.37E+00,4.87E+00,5.50E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmy*c/cref,2.65E+00,2.72E+00,2.15E+00,1.64E+00,1.22E+00,9.59E-01,7.76E-01,6.20E-01,4.84E-01,3.69E-01,2.73E-01,1.90E-01,1.18E-01,5.51E-02,5.99E-03,5.99E-03,5.51E-02,1.18E-01,1.90E-01,2.73E-01,3.69E-01,4.84E-01,6.20E-01,7.76E-01,9.59E-01,1.22E+00,1.64E+00,2.15E+00,2.72E+00,2.65E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmyi,5.51E+00,4.87E+00,3.37E+00,2.29E+00,1.54E+00,1.11E+00,8.46E-01,6.37E-01,4.70E-01,3.40E-01,2.33E-01,1.48E-01,8.46E-02,3.67E-02,3.71E-03,3.71E-03,3.67E-02,8.46E-02,1.48E-01,2.33E-01,3.40E-01,4.70E-01,6.37E-01,8.46E-01,1.11E+00,1.54E+00,2.29E+00,3.37E+00,4.87E+00,5.51E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmyi*c/cref,2.66E+00,2.72E+00,2.15E+00,1.64E+00,1.22E+00,9.59E-01,7.75E-01,6.19E-01,4.83E-01,3.68E-01,2.72E-01,1.89E-01,1.17E-01,5.50E-02,5.98E-03,5.98E-03,5.50E-02,1.17E-01,1.89E-01,2.72E-01,3.68E-01,4.83E-01,6.19E-01,7.75E-01,9.59E-01,1.22E+00,1.64E+00,2.15E+00,2.72E+00,2.66E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmyo,-8.17E-03,-3.75E-03,-7.00E-04,4.50E-04,7.90E-04,7.40E-04,5.90E-04,4.80E-04,3.90E-04,3.20E-04,2.20E-04,1.20E-04,6.00E-05,3.00E-05,1.00E-05,1.00E-05,3.00E-05,6.00E-05,1.20E-04,2.20E-04,3.20E-04,3.90E-04,4.80E-04,5.90E-04,7.40E-04,7.90E-04,4.50E-04,-7.00E-04,-3.75E-03,-8.17E-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmyo*c/cref,-3.94E-03,-2.10E-03,-4.46E-04,3.22E-04,6.27E-04,6.37E-04,5.41E-04,4.67E-04,4.01E-04,3.47E-04,2.57E-04,1.53E-04,8.33E-05,4.50E-05,1.61E-05,1.61E-05,4.50E-05,8.33E-05,1.53E-04,2.57E-04,3.47E-04,4.01E-04,4.67E-04,5.41E-04,6.37E-04,6.27E-04,3.22E-04,-4.46E-04,-2.10E-03,-3.94E-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmz,4.78E+00,2.09E+00,1.50E+00,1.05E+00,7.23E-01,5.23E-01,4.06E-01,3.17E-01,2.44E-01,1.85E-01,1.42E-01,8.92E-02,5.00E-02,2.09E-02,1.72E-03,-1.72E-03,-2.09E-02,-5.00E-02,-8.92E-02,-1.42E-01,-1.85E-01,-2.44E-01,-3.17E-01,-4.06E-01,-5.23E-01,-7.23E-01,-1.05E+00,-1.50E+00,-2.09E+00,-4.78E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmz*c/cref,2.31E+00,1.17E+00,9.56E-01,7.54E-01,5.74E-01,4.50E-01,3.72E-01,3.08E-01,2.51E-01,2.01E-01,1.65E-01,1.14E-01,6.94E-02,3.14E-02,2.77E-03,-2.77E-03,-3.14E-02,-6.94E-02,-1.14E-01,-1.65E-01,-2.01E-01,-2.51E-01,-3.08E-01,-3.72E-01,-4.50E-01,-5.74E-01,-7.54E-01,-9.56E-01,-1.17E+00,-2.31E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmzi,4.90E+00,2.20E+00,1.57E+00,1.10E+00,7.51E-01,5.43E-01,4.21E-01,3.29E-01,2.54E-01,1.92E-01,1.47E-01,9.29E-02,5.23E-02,2.22E-02,2.10E-03,-2.10E-03,-2.22E-02,-5.23E-02,-9.29E-02,-1.47E-01,-1.92E-01,-2.54E-01,-3.29E-01,-4.21E-01,-5.43E-01,-7.51E-01,-1.10E+00,-1.57E+00,-2.20E+00,-4.90E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmzi*c/cref,2.37E+00,1.23E+00,1.00E+00,7.85E-01,5.96E-01,4.68E-01,3.86E-01,3.20E-01,2.61E-01,2.08E-01,1.72E-01,1.19E-01,7.26E-02,3.32E-02,3.38E-03,-3.38E-03,-3.32E-02,-7.26E-02,-1.19E-01,-1.72E-01,-2.08E-01,-2.61E-01,-3.20E-01,-3.86E-01,-4.68E-01,-5.96E-01,-7.85E-01,-1.00E+00,-1.23E+00,-2.37E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmzo,-1.23E-01,-1.08E-01,-6.96E-02,-4.45E-02,-2.86E-02,-2.03E-02,-1.57E-02,-1.21E-02,-9.39E-03,-7.21E-03,-5.27E-03,-3.61E-03,-2.30E-03,-1.24E-03,-3.70E-04,3.70E-04,1.24E-03,2.30E-03,3.61E-03,5.27E-03,7.21E-03,9.39E-03,1.21E-02,1.57E-02,2.03E-02,2.86E-02,4.45E-02,6.96E-02,1.08E-01,1.23E-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmzo*c/cref,-5.94E-02,-6.04E-02,-4.43E-02,-3.18E-02,-2.27E-02,-1.75E-02,-1.44E-02,-1.18E-02,-9.65E-03,-7.81E-03,-6.15E-03,-4.61E-03,-3.19E-03,-1.86E-03,-5.96E-04,5.96E-04,1.86E-03,3.19E-03,4.61E-03,6.15E-03,7.81E-03,9.65E-03,1.18E-02,1.44E-02,1.75E-02,2.27E-02,3.18E-02,4.43E-02,6.04E-02,5.94E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs,6.54E-01,1.63E-01,1.40E-01,1.25E-01,1.11E-01,9.41E-02,8.87E-02,8.56E-02,8.28E-02,8.06E-02,9.89E-02,8.96E-02,7.88E-02,6.38E-02,3.72E-02,-3.72E-02,-6.38E-02,-7.88E-02,-8.96E-02,-9.89E-02,-8.06E-02,-8.28E-02,-8.56E-02,-8.87E-02,-9.41E-02,-1.11E-01,-1.25E-01,-1.40E-01,-1.63E-01,-6.54E-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs*c/cref,3.16E-01,9.13E-02,8.91E-02,8.93E-02,8.79E-02,8.10E-02,8.13E-02,8.33E-02,8.51E-02,8.73E-02,1.15E-01,1.14E-01,1.09E-01,9.56E-02,6.00E-02,-6.00E-02,-9.56E-02,-1.09E-01,-1.14E-01,-1.15E-01,-8.73E-02,-8.51E-02,-8.33E-02,-8.13E-02,-8.10E-02,-8.79E-02,-8.93E-02,-8.91E-02,-9.13E-02,-3.16E-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
csi,6.54E-01,1.63E-01,1.40E-01,1.25E-01,1.11E-01,9.41E-02,8.87E-02,8.56E-02,8.28E-02,8.06E-02,9.89E-02,8.96E-02,7.88E-02,6.38E-02,3.72E-02,-3.72E-02,-6.38E-02,-7.88E-02,-8.96E-02,-9.89E-02,-8.06E-02,-8.28E-02,-8.56E-02,-8.87E-02,-9.41E-02,-1.11E-01,-1.25E-01,-1.40E-01,-1.63E-01,-6.54E-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
csi*c/cref,3.16E-01,9.13E-02,8.91E-02,8.93E-02,8.79E-02,8.10E-02,8.13E-02,8.33E-02,8.51E-02,8.73E-02,1.15E-01,1.14E-01,1.09E-01,9.56E-02,6.00E-02,-6.00E-02,-9.56E-02,-1.09E-01,-1.14E-01,-1.15E-01,-8.73E-02,-8.51E-02,-8.33E-02,-8.13E-02,-8.10E-02,-8.79E-02,-8.93E-02,-8.91E-02,-9.13E-02,-3.16E-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cso,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cso*c/cref,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cx,-2.24E-01,-2.68E-01,-2.55E-01,-2.32E-01,-2.08E-01,-1.95E-01,-1.80E-01,-1.68E-01,-1.58E-01,-1.49E-01,-1.36E-01,-1.20E-01,-1.02E-01,-7.91E-02,-3.75E-02,-3.75E-02,-7.91E-02,-1.02E-01,-1.20E-01,-1.36E-01,-1.49E-01,-1.58E-01,-1.68E-01,-1.80E-01,-1.95E-01,-2.08E-01,-2.32E-01,-2.55E-01,-2.68E-01,-2.24E-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cx*c/cref,-1.08E-01,-1.50E-01,-1.62E-01,-1.66E-01,-1.65E-01,-1.68E-01,-1.65E-01,-1.63E-01,-1.62E-01,-1.61E-01,-1.59E-01,-1.53E-01,-1.42E-01,-1.19E-01,-6.04E-02,-6.04E-02,-1.19E-01,-1.42E-01,-1.53E-01,-1.59E-01,-1.61E-01,-1.62E-01,-1.63E-01,-1.65E-01,-1.68E-01,-1.65E-01,-1.66E-01,-1.62E-01,-1.50E-01,-1.08E-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cxi,-2.41E-01,-2.87E-01,-2.70E-01,-2.45E-01,-2.19E-01,-2.05E-01,-1.89E-01,-1.76E-01,-1.65E-01,-1.56E-01,-1.43E-01,-1.27E-01,-1.09E-01,-8.55E-02,-4.38E-02,-4.38E-02,-8.55E-02,-1.09E-01,-1.27E-01,-1.43E-01,-1.56E-01,-1.65E-01,-1.76E-01,-1.89E-01,-2.05E-01,-2.19E-01,-2.45E-01,-2.70E-01,-2.87E-01,-2.41E-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cxi*c/cref,-1.16E-01,-1.60E-01,-1.72E-01,-1.75E-01,-1.74E-01,-1.76E-01,-1.73E-01,-1.71E-01,-1.70E-01,-1.69E-01,-1.67E-01,-1.62E-01,-1.51E-01,-1.28E-01,-7.05E-02,-7.05E-02,-1.28E-01,-1.51E-01,-1.62E-01,-1.67E-01,-1.69E-01,-1.70E-01,-1.71E-01,-1.73E-01,-1.76E-01,-1.74E-01,-1.75E-01,-1.72E-01,-1.60E-01,-1.16E-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cxo,1.63E-02,1.86E-02,1.54E-02,1.28E-02,1.08E-02,9.62E-03,8.83E-03,8.23E-03,7.77E-03,7.43E-03,7.15E-03,6.90E-03,6.68E-03,6.47E-03,6.27E-03,6.27E-03,6.47E-03,6.68E-03,6.90E-03,7.15E-03,7.43E-03,7.77E-03,8.23E-03,8.83E-03,9.62E-03,1.08E-02,1.28E-02,1.54E-02,1.86E-02,1.63E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
