y (m), Iteration 2 / TriUni / -20.00°_11.00m/s, y (m), Iteration 2 / TriUni / -19.00°_11.00m/s, y (m), Iteration 2 / TriUni / -18.00°_11.00m/s, y (m), Iteration 2 / TriUni / -17.00°_11.00m/s, y (m), Iteration 2 / TriUni / -16.00°_11.00m/s, y (m), Iteration 2 / TriUni / -15.00°_11.00m/s, y (m), Iteration 2 / TriUni / -14.00°_11.00m/s, y (m), Iteration 2 / TriUni / -13.00°_11.00m/s, y (m), Iteration 2 / TriUni / -12.00°_11.00m/s, y (m), Iteration 2 / TriUni / -11.00°_11.00m/s, y (m), Iteration 2 / TriUni / -10.00°_11.00m/s, y (m), Iteration 2 / TriUni / -9.00°_11.00m/s, y (m), Iteration 2 / TriUni / -8.00°_11.00m/s, y (m), Iteration 2 / TriUni / -7.00°_11.00m/s, y (m), Iteration 2 / TriUni / -6.00°_11.00m/s, y (m), Iteration 2 / TriUni / -5.00°_11.00m/s, y (m), Iteration 2 / TriUni / -4.00°_11.00m/s, y (m), Iteration 2 / TriUni / -3.00°_11.00m/s, y (m), Iteration 2 / TriUni / -2.00°_11.00m/s, y (m), Iteration 2 / TriUni / -1.00°_11.00m/s, y (m), Iteration 2 / TriUni /  0.00°_11.00m/s, y (m), Iteration 2 / TriUni /  1.00°_11.00m/s, y (m), Iteration 2 / TriUni /  2.00°_11.00m/s, y (m), Iteration 2 / TriUni /  3.00°_11.00m/s, y (m), Iteration 2 / TriUni /  4.00°_11.00m/s, y (m), Iteration 2 / TriUni /  5.00°_11.00m/s, y (m), Iteration 2 / TriUni /  6.00°_11.00m/s, y (m), Iteration 2 / TriUni /  7.00°_11.00m/s, y (m), Iteration 2 / TriUni /  8.00°_11.00m/s, y (m), Iteration 2 / TriUni /  9.00°_11.00m/s, y (m), Iteration 2 / TriUni / 10.00°_11.00m/s, y (m), Iteration 2 / TriUni / 11.00°_11.00m/s, y (m), Iteration 2 / TriUni / 12.00°_11.00m/s, y (m), Iteration 2 / TriUni / 13.00°_11.00m/s, y (m), Iteration 2 / TriUni / 14.00°_11.00m/s, y (m), Iteration 2 / TriUni / 15.00°_11.00m/s, y (m), Iteration 2 / TriUni / 16.00°_11.00m/s, y (m), Iteration 2 / TriUni / 17.00°_11.00m/s, y (m), Iteration 2 / TriUni / 18.00°_11.00m/s, y (m), Iteration 2 / TriUni / 19.00°_11.00m/s, y (m), Iteration 2 / TriUni / 20.00°_11.00m/s, y (m), Iteration 2 / TriUni / ctrl=0- 2.07°_13.05m/s, 
-0.2795201,-1.058828,-0.2795201,-0.9908477,-0.2795201,-0.9213655,-0.2795201,-0.8504667,-0.2795201,-0.7782376,-0.2795201,-0.7047661,-0.2795201,-0.6301419,-0.2795201,-0.5544558,-0.2795201,-0.4777999,-0.2795201,-0.4002679,-0.2795201,-0.321954,-0.2795201,-0.2429536,-0.2795201,-0.1633632,-0.2795201,-0.08327952,-0.2795201,-0.00280025,-0.2795201,0.07797659,-0.2795201,0.1589526,-0.2795201,0.2400291,-0.2795201,0.3211073,-0.2795201,0.4020884,-0.2795201,0.4828738,-0.2795201,0.563365,-0.2795201,0.6434641,-0.2795201,0.7230733,-0.2795201,0.8020957,-0.2795201,0.880435,-0.2795201,0.9579959,-0.2795201,1.034684,-0.2795201,1.110405,-0.2795201,1.185068,-0.2795201,1.258581,-0.2795201,1.330854,-0.2795201,1.401801,-0.2795201,1.471334,-0.2795201,1.539368,-0.2795201,1.605821,-0.2795201,1.670612,-0.2795201,1.733661,-0.2795201,1.794892,-0.2795201,1.854231,-0.2795201,1.911605,-0.2795201,0.6491888,
-0.2365169,-1.035431,-0.2365169,-0.9640109,-0.2365169,-0.8910658,-0.2365169,-0.816685,-0.2365169,-0.7409592,-0.2365169,-0.6639806,-0.2365169,-0.585843,-0.2365169,-0.5066415,-0.2365169,-0.4264728,-0.2365169,-0.3454344,-0.2365169,-0.2636251,-0.2365169,-0.1811446,-0.2365169,-0.09809329,-0.2365169,-0.01457244,-0.2365169,0.06931621,-0.2365169,0.1534705,-0.2365169,0.2377878,-0.2365169,0.3221655,-0.2365169,0.4065007,-0.2365169,0.4906907,-0.2365169,0.5746329,-0.2365169,0.658225,-0.2365169,0.7413653,-0.2365169,0.8239524,-0.2365169,0.9058857,-0.2365169,0.9870653,-0.2365169,1.067392,-0.2365169,1.146769,-0.2365169,1.225099,-0.2365169,1.302286,-0.2365169,1.378236,-0.2365169,1.452858,-0.2365169,1.526059,-0.2365169,1.597751,-0.2365169,1.667847,-0.2365169,1.73626,-0.2365169,1.802908,-0.2365169,1.86771,-0.2365169,1.930586,-0.2365169,1.991461,-0.2365169,2.050259,-0.2365169,0.7473057,
-0.1935136,-1.018858,-0.1935136,-0.9444443,-0.1935136,-0.8684836,-0.1935136,-0.7910682,-0.1935136,-0.7122922,-0.1935136,-0.6322518,-0.1935136,-0.5510444,-0.1935136,-0.468769,-0.1935136,-0.3855258,-0.1935136,-0.3014162,-0.1935136,-0.2165427,-0.1935136,-0.1310087,-0.1935136,-0.04491844,-0.1935136,0.04162322,-0.1935136,0.1285108,-0.1935136,0.2156386,-0.1935136,0.3029002,-0.1935136,0.3901895,-0.1935136,0.4774001,-0.1935136,0.5644257,-0.1935136,0.6511603,-0.1935136,0.7374983,-0.1935136,0.8233343,-0.1935136,0.908564,-0.1935136,0.9930834,-0.1935136,1.076789,-0.1935136,1.15958,-0.1935136,1.241355,-0.1935136,1.322014,-0.1935136,1.401459,-0.1935136,1.479594,-0.1935136,1.556322,-0.1935136,1.631551,-0.1935136,1.705188,-0.1935136,1.777145,-0.1935136,1.847333,-0.1935136,1.915668,-0.1935136,1.982065,-0.1935136,2.046444,-0.1935136,2.108726,-0.1935136,2.168836,-0.1935136,0.829466,
-0.1612613,-1.020428,-0.1612613,-0.9436772,-0.1612613,-0.8653513,-0.1612613,-0.7855458,-0.1612613,-0.7043579,-0.1612613,-0.6218865,-0.1612613,-0.5382321,-0.1612613,-0.4534965,-0.1612613,-0.3677831,-0.1612613,-0.2811963,-0.1612613,-0.1938416,-0.1612613,-0.1058253,-0.1612613,-0.01725474,-0.1612613,0.07176218,-0.1612613,0.161117,-0.1612613,0.2507009,-0.1612613,0.3404047,-0.1612613,0.4301191,-0.1612613,0.5197348,-0.1612613,0.6091426,-0.1612613,0.6982337,-0.1612613,0.7868993,-0.1612613,0.8750317,-0.1612613,0.9625232,-0.1612613,1.049267,-0.1612613,1.135159,-0.1612613,1.220092,-0.1612613,1.303965,-0.1612613,1.386674,-0.1612613,1.468119,-0.1612613,1.5482,-0.1612613,1.626821,-0.1612613,1.703885,-0.1612613,1.779298,-0.1612613,1.852969,-0.1612613,1.924808,-0.1612613,1.994727,-0.1612613,2.062641,-0.1612613,2.128468,-0.1612613,2.192126,-0.1612613,2.25354,-0.1612613,0.8813267,
-0.1308535,-1.025956,-0.1308535,-0.9471589,-0.1308535,-0.8667599,-0.1308535,-0.7848566,-0.1308535,-0.7015488,-0.1308535,-0.6169381,-0.1308535,-0.5311275,-0.1308535,-0.4442215,-0.1308535,-0.3563262,-0.1308535,-0.2675484,-0.1308535,-0.1779965,-0.1308535,-0.08777944,-0.1308535,0.00299278,-0.1308535,0.09420958,-0.1308535,0.1857598,-0.1308535,0.277532,-0.1308535,0.3694143,-0.1308535,0.4612947,-0.1308535,0.5530614,-0.1308535,0.6446024,-0.1308535,0.7358064,-0.1308535,0.8265621,-0.1308535,0.916759,-0.1308535,1.006287,-0.1308535,1.095038,-0.1308535,1.182902,-0.1308535,1.269774,-0.1308535,1.355547,-0.1308535,1.440116,-0.1308535,1.523379,-0.1308535,1.605235,-0.1308535,1.685583,-0.1308535,1.764325,-0.1308535,1.841366,-0.1308535,1.916612,-0.1308535,1.989971,-0.1308535,2.061354,-0.1308535,2.130674,-0.1308535,2.197846,-0.1308535,2.262789,-0.1308535,2.325423,-0.1308535,0.923201,
-0.08574175,-1.034337,-0.08574175,-0.9534333,-0.08574175,-0.8708979,-0.08574175,-0.786831,-0.08574175,-0.7013352,-0.08574175,-0.6145145,-0.08574175,-0.5264748,-0.08574175,-0.4373233,-0.08574175,-0.3471686,-0.08574175,-0.2561205,-0.08574175,-0.1642901,-0.08574175,-0.07178913,-0.08574175,0.02126967,-0.08574175,0.1147729,-0.08574175,0.2086067,-0.08574175,0.3026567,-0.08574175,0.3968083,-0.08574175,0.4909469,-0.08574175,0.5849576,-0.08574175,0.6787261,-0.08574175,0.7721379,-0.08574175,0.8650795,-0.08574175,0.9574374,-0.08574175,1.049099,-0.08574175,1.139953,-0.08574175,1.229889,-0.08574175,1.318796,-0.08574175,1.406567,-0.08574175,1.493095,-0.08574175,1.578274,-0.08574175,1.662,-0.08574175,1.744172,-0.08574175,1.82469,-0.08574175,1.903454,-0.08574175,1.98037,-0.08574175,2.055344,-0.08574175,2.128283,-0.08574175,2.1991,-0.08574175,2.267709,-0.08574175,2.334024,-0.08574175,2.397967,-0.08574175,0.9640333,
-0.03014346,-1.039546,-0.03014346,-0.9572723,-0.03014346,-0.8733475,-0.03014346,-0.7878738,-0.03014346,-0.7009552,-0.03014346,-0.6126978,-0.03014346,-0.5232091,-0.03014346,-0.4325979,-0.03014346,-0.3409749,-0.03014346,-0.2484515,-0.03014346,-0.1551405,-0.03014346,-0.06115567,-0.03014346,0.0333886,-0.03014346,0.1283771,-0.03014346,0.223694,-0.03014346,0.3192234,-0.03014346,0.4148486,-0.03014346,0.5104534,-0.03014346,0.6059211,-0.03014346,0.7011355,-0.03014346,0.7959805,-0.03014346,0.8903407,-0.03014346,0.984101,-0.03014346,1.077147,-0.03014346,1.169366,-0.03014346,1.260645,-0.03014346,1.350873,-0.03014346,1.43994,-0.03014346,1.527738,-0.03014346,1.614159,-0.03014346,1.699098,-0.03014346,1.782452,-0.03014346,1.86412,-0.03014346,1.944001,-0.03014346,2.021999,-0.03014346,2.098018,-0.03014346,2.171966,-0.03014346,2.243752,-0.03014346,2.31329,-0.03014346,2.380494,-0.03014346,2.445283,-0.03014346,0.9907968,
0.03014346,-1.039546,0.03014346,-0.9572723,0.03014346,-0.8733475,0.03014346,-0.7878738,0.03014346,-0.7009552,0.03014346,-0.6126978,0.03014346,-0.5232091,0.03014346,-0.4325979,0.03014346,-0.3409749,0.03014346,-0.2484515,0.03014346,-0.1551405,0.03014346,-0.06115567,0.03014346,0.0333886,0.03014346,0.1283771,0.03014346,0.223694,0.03014346,0.3192234,0.03014346,0.4148486,0.03014346,0.5104534,0.03014346,0.6059211,0.03014346,0.7011355,0.03014346,0.7959805,0.03014346,0.8903407,0.03014346,0.984101,0.03014346,1.077147,0.03014346,1.169366,0.03014346,1.260645,0.03014346,1.350873,0.03014346,1.43994,0.03014346,1.527738,0.03014346,1.614159,0.03014346,1.699098,0.03014346,1.782452,0.03014346,1.86412,0.03014346,1.944001,0.03014346,2.021999,0.03014346,2.098018,0.03014346,2.171966,0.03014346,2.243752,0.03014346,2.31329,0.03014346,2.380494,0.03014346,2.445283,0.03014346,0.9907968,
0.08574175,-1.034337,0.08574175,-0.9534333,0.08574175,-0.8708979,0.08574175,-0.786831,0.08574175,-0.7013352,0.08574175,-0.6145145,0.08574175,-0.5264748,0.08574175,-0.4373233,0.08574175,-0.3471686,0.08574175,-0.2561205,0.08574175,-0.1642901,0.08574175,-0.07178913,0.08574175,0.02126967,0.08574175,0.1147729,0.08574175,0.2086067,0.08574175,0.3026567,0.08574175,0.3968083,0.08574175,0.4909469,0.08574175,0.5849576,0.08574175,0.6787261,0.08574175,0.7721379,0.08574175,0.8650795,0.08574175,0.9574374,0.08574175,1.049099,0.08574175,1.139953,0.08574175,1.229889,0.08574175,1.318796,0.08574175,1.406567,0.08574175,1.493095,0.08574175,1.578274,0.08574175,1.662,0.08574175,1.744172,0.08574175,1.82469,0.08574175,1.903454,0.08574175,1.98037,0.08574175,2.055344,0.08574175,2.128283,0.08574175,2.1991,0.08574175,2.267709,0.08574175,2.334024,0.08574175,2.397967,0.08574175,0.9640333,
0.1308535,-1.025956,0.1308535,-0.9471589,0.1308535,-0.8667599,0.1308535,-0.7848566,0.1308535,-0.7015488,0.1308535,-0.6169381,0.1308535,-0.5311275,0.1308535,-0.4442215,0.1308535,-0.3563262,0.1308535,-0.2675484,0.1308535,-0.1779965,0.1308535,-0.08777944,0.1308535,0.00299278,0.1308535,0.09420958,0.1308535,0.1857598,0.1308535,0.277532,0.1308535,0.3694143,0.1308535,0.4612947,0.1308535,0.5530614,0.1308535,0.6446024,0.1308535,0.7358064,0.1308535,0.8265621,0.1308535,0.916759,0.1308535,1.006287,0.1308535,1.095038,0.1308535,1.182902,0.1308535,1.269774,0.1308535,1.355547,0.1308535,1.440116,0.1308535,1.523379,0.1308535,1.605235,0.1308535,1.685583,0.1308535,1.764325,0.1308535,1.841366,0.1308535,1.916612,0.1308535,1.989971,0.1308535,2.061354,0.1308535,2.130674,0.1308535,2.197846,0.1308535,2.262789,0.1308535,2.325423,0.1308535,0.923201,
